support_id,job_id,variant,profile_summary,valid
35,pew_w154_diff1_uniform_n96_035,,"This respondent generally sees men and women as fundamentally similar across interests, abilities, parenting, and workplace strengths, while making one distinction around emotional expression, where they view men and women as basically different.",True
36,pew_w154_diff1_uniform_n96_036,,"This profile emphasizes broad similarity between men and women in personal interests, physical abilities, and parenting, while drawing distinctions in emotional expression and workplace strengths.",True
37,pew_w154_diff1_uniform_n96_037,,"This profile emphasizes broad similarity between men and women across interests, physical abilities, emotional expression, and workplace strengths, while seeing parenting approach as the main area where men and women are basically different.",True
38,pew_w154_diff1_uniform_n96_038,,"This profile sees men and women as broadly alike in personal interests, physical capabilities, and emotional expression, while viewing gender differences as more pronounced in parenting approaches and workplace strengths.",True
39,pew_w154_diff1_uniform_n96_039,,"This profile emphasizes broad similarity between men and women in interests, workplace strengths, and even physical abilities, while seeing clearer gender differences in family roles and emotional expression.",True
40,pew_w154_diff1_uniform_n96_040,,"This profile reflects a view that men and women are broadly alike in personal interests and physical capabilities, while seeing more meaningful gender differences in family roles, emotional expression, and workplace strengths.",True
41,pew_w154_diff1_uniform_n96_041,,"This profile views men and women as broadly alike in interests, parenting, emotional expression, and workplace strengths, while seeing physical abilities as the main area where men and women are basically different.",True
42,pew_w154_diff1_uniform_n96_042,,"This profile reflects a respondent who generally views men and women as similar in personal interests, parenting approaches, and emotional expression, while seeing clearer gender differences in physical abilities and workplace strengths.",True
43,pew_w154_diff1_uniform_n96_043,,"This response pattern emphasizes broad similarity between men and women in everyday interests, parenting approach, and workplace strengths, while seeing clearer gender differences in physical abilities and emotional expression.",True
44,pew_w154_diff1_uniform_n96_044,,"This response pattern emphasizes similarity between men and women in personal interests and parenting, while seeing clearer gender differences in physical abilities, emotional expression, and workplace strengths.",True
45,pew_w154_diff1_uniform_n96_045,,"This response pattern emphasizes similarity between men and women in interests, emotional expression, and workplace abilities, while seeing clearer gender differences in physical abilities and approaches to parenting.",True
46,pew_w154_diff1_uniform_n96_046,,"This profile sees men and women as alike in hobbies and emotional expression, but as differing in physical abilities, parenting approaches, and workplace strengths.",True
47,pew_w154_diff1_uniform_n96_047,,"This profile sees men and women as largely alike in everyday interests and workplace capabilities, while viewing gender differences as more pronounced in physical abilities, parenting styles, and emotional expression.",True
48,pew_w154_diff1_uniform_n96_048,,"This profile sees men and women as sharing broadly similar hobbies and personal interests, while viewing gender differences as more pronounced in physical abilities, parenting approaches, emotional expression, and workplace strengths.",True
49,pew_w154_diff1_uniform_n96_049,,"This profile views men and women as largely alike across abilities, parenting, emotional expression, and workplace strengths, while seeing hobbies and personal interests as the main area where gender differences stand out.",True
50,pew_w154_diff1_uniform_n96_050,,"This profile sees men and women as alike in many core capacities and interpersonal roles, including physical abilities, parenting, and emotional expression, while still perceiving gender-based differences in personal interests and workplace strengths.",True
51,pew_w154_diff1_uniform_n96_051,,"This profile views men and women as differing mainly in personal interests and emotional expression, while seeing them as broadly similar in physical abilities, parenting approaches, and workplace strengths.",True
52,pew_w154_diff1_uniform_n96_052,,"This profile views men and women as different in personal interests, emotional expression, and workplace strengths, while seeing them as broadly similar in physical abilities and parenting approaches.",True
53,pew_w154_diff1_uniform_n96_053,,"This profile sees gender differences as most evident in personal interests and parenting approaches, while emphasizing broad similarity between men and women in physical abilities, emotional expression, and workplace strengths.",True
54,pew_w154_diff1_uniform_n96_054,,"This profile reflects a mixed view: men and women are seen as similar in physical abilities and emotional expression, but different in hobbies, parenting approaches, and workplace strengths.",True
55,pew_w154_diff1_uniform_n96_055,,"This profile sees men and women as different in personal interests, parenting styles, and emotional expression, while emphasizing similarity in physical abilities and workplace strengths.",True
56,pew_w154_diff1_uniform_n96_056,,"This profile views men and women as broadly different in interests, parenting styles, emotional expression, and workplace strengths, while seeing their physical abilities as basically similar.",True
57,pew_w154_diff1_uniform_n96_057,,"This profile sees men and women as differing in hobbies and physical abilities, while viewing them as broadly similar in parenting, emotional expression, and workplace strengths.",True
58,pew_w154_diff1_uniform_n96_058,,"This profile sees men and women as different in interests, physical abilities, and workplace strengths, while viewing them as broadly similar in parenting approaches and emotional expression.",True
59,pew_w154_diff1_uniform_n96_059,,"This profile sees gender differences as most evident in personal interests, physical abilities, and emotional expression, while viewing men and women as broadly similar in parenting approaches and workplace competencies.",True
60,pew_w154_diff1_uniform_n96_060,,"This response pattern reflects a view that men and women differ across many personal and social domains, especially physical abilities, emotional expression, hobbies, and workplace strengths, while seeing parenting approaches as an area where men and women are more basically similar.",True
61,pew_w154_diff1_uniform_n96_061,,"This profile views men and women as clearly different in personal interests, physical abilities, and parenting styles, while seeing them as largely similar in emotional expression and workplace capabilities.",True
62,pew_w154_diff1_uniform_n96_062,,"This profile reflects a view that men and women differ in many practical and role-related domains, including interests, physical abilities, parenting approaches, and workplace strengths, while seeing emotional expression as more similar across genders.",True
63,pew_w154_diff1_uniform_n96_063,,"This profile reflects a view that men and women tend to differ in personal interests, physical abilities, parenting styles, and emotional expression, while seeing workplace strengths and competencies as largely similar across genders.",True
64,pew_w154_diff1_uniform_n96_064,,"This response pattern reflects a broad tendency to see men and women as fundamentally different across both personal and social domains, including interests, physical abilities, parenting styles, emotional expression, and workplace strengths.",True
65,pew_w154_diff1_uniform_n96_065,,"This profile reflects a consistently similarity-focused view: men and women are seen as broadly alike across interests, physical abilities, parenting, emotional expression, and workplace strengths, with little emphasis on gender-based differences.",True
66,pew_w154_diff1_uniform_n96_066,,"This profile reflects a broadly similarity-oriented view of men and women across personal interests, physical abilities, parenting, and emotional expression, while making a distinct exception for the workplace, where men and women are seen as tending to be good at different things.",True
67,pew_w154_diff1_uniform_n96_067,,"This profile reflects a broadly similarity-oriented view of men and women across interests, physical abilities, parenting, and workplace strengths, while still seeing a meaningful gender difference in how feelings are expressed.",True
68,pew_w154_diff1_uniform_n96_068,,"This profile sees men and women as largely alike in personal interests, physical abilities, and parenting approaches, while viewing gender differences as more apparent in emotional expression and workplace strengths.",True
69,pew_w154_diff1_uniform_n96_069,,"This profile reflects a generally similarity-oriented view of men and women across interests, emotional expression, physical abilities, and workplace strengths, while seeing parenting as the main domain where men and women tend to differ.",True
70,pew_w154_diff1_uniform_n96_070,,"This response pattern emphasizes broad similarity between men and women in personal interests, emotional expression, and even physical abilities, while distinguishing gender differences in parenting approaches and workplace strengths.",True
71,pew_w154_diff1_uniform_n96_071,,"This profile emphasizes broad similarity between men and women in interests, physical abilities, and workplace strengths, while seeing clearer gender differences in relational or expressive domains such as parenting style and emotional expression.",True
72,pew_w154_diff1_uniform_n96_072,,"This profile sees men and women as broadly alike in personal interests and physical capabilities, while viewing differences as more pronounced in parenting styles, emotional expression, and workplace strengths.",True
73,pew_w154_diff1_uniform_n96_073,,"This profile reflects a view that men and women are largely similar in interests, parenting, emotional expression, and workplace strengths, while still seeing physical abilities as a meaningful area of difference.",True
74,pew_w154_diff1_uniform_n96_074,,"This profile reflects a view that men and women are largely similar in personal interests, parenting, and emotional expression, while seeing clearer gender differences in physical abilities and workplace strengths.",True
75,pew_w154_diff1_uniform_n96_075,,"This response pattern emphasizes broad similarity between men and women in interests, parenting, and workplace strengths, while seeing clearer gender differences in physical abilities and emotional expression.",True
76,pew_w154_diff1_uniform_n96_076,,"This profile sees men and women as broadly similar in personal interests and parenting approaches, while viewing differences as more pronounced in physical abilities, emotional expression, and workplace strengths.",True
77,pew_w154_diff1_uniform_n96_077,,"This profile emphasizes broad similarity between men and women in interests, emotional expression, and workplace strengths, while seeing clearer gender differences in physical abilities and parenting approaches.",True
78,pew_w154_diff1_uniform_n96_078,,"This profile sees men and women as similar in personal interests and emotional expression, while viewing differences as more pronounced in physical abilities, parenting approaches, and workplace strengths.",True
79,pew_w154_diff1_uniform_n96_079,,"This profile sees men and women as broadly similar in personal interests and workplace capabilities, while viewing gender differences as more pronounced in physical abilities, parenting approaches, and emotional expression.",True
80,pew_w154_diff1_uniform_n96_080,,"This profile sees men and women as sharing broadly similar hobbies and interests, while viewing gender differences as more salient in physical abilities, parenting style, emotional expression, and workplace strengths.",True
81,pew_w154_diff1_uniform_n96_081,,"This profile sees men and women as broadly similar in abilities, parenting, emotional expression, and workplace strengths, while still perceiving a clear difference in hobbies and personal interests.",True
82,pew_w154_diff1_uniform_n96_082,,"This profile sees gender differences mainly in personal interests and workplace strengths, while viewing men and women as broadly similar in physical abilities, parenting approaches, and emotional expression.",True
83,pew_w154_diff1_uniform_n96_083,,"This profile sees men and women as mostly similar in practical capacities and roles, including physical abilities, parenting, and workplace strengths, while viewing gender differences as more pronounced in personal interests and emotional expression.",True
84,pew_w154_diff1_uniform_n96_084,,"This profile views men and women as differing mainly in personal interests, emotional expression, and workplace strengths, while seeing them as broadly similar in physical abilities and approaches to parenting.",True
85,pew_w154_diff1_uniform_n96_085,,"This profile sees men and women as differing in personal interests and parenting approaches, while viewing them as broadly similar in physical abilities, emotional expression, and workplace strengths.",True
86,pew_w154_diff1_uniform_n96_086,,"This profile views men and women as differing in hobbies, parenting approaches, and workplace strengths, while seeing them as broadly similar in physical abilities and emotional expression.",True
87,pew_w154_diff1_uniform_n96_087,,"This profile sees men and women as differing in personal interests, parenting approaches, and emotional expression, while viewing them as broadly similar in physical abilities and workplace strengths.",True
88,pew_w154_diff1_uniform_n96_088,,"This profile reflects a view that men and women differ in several social and personal domains—interests, parenting styles, emotional expression, and workplace strengths—while seeing their physical abilities as broadly similar.",True
89,pew_w154_diff1_uniform_n96_089,,"This response pattern sees men and women as differing mainly in personal interests and physical abilities, while viewing them as broadly similar in parenting, emotional expression, and workplace strengths.",True
90,pew_w154_diff1_uniform_n96_090,,"This profile views men and women as different in hobbies, physical abilities, and workplace strengths, while seeing them as broadly similar in parenting approaches and emotional expression.",True
91,pew_w154_diff1_uniform_n96_091,,"This profile views men and women as clearly different in personal interests, physical abilities, and emotional expression, while seeing them as broadly similar in parenting approaches and workplace strengths.",True
92,pew_w154_diff1_uniform_n96_092,,"This profile views men and women as mostly different across interests, physical abilities, emotional expression, and workplace strengths, while seeing their approach to parenting as more fundamentally similar.",True
93,pew_w154_diff1_uniform_n96_093,,"This profile views men and women as different in personal interests, physical abilities, and parenting approaches, while seeing them as broadly similar in emotional expression and workplace strengths.",True
94,pew_w154_diff1_uniform_n96_094,,"This profile sees men and women as differing across many practical domains, including interests, physical abilities, parenting approaches, and workplace strengths, while viewing emotional expression as more basically similar than different.",True
95,pew_w154_diff1_uniform_n96_095,,"This response pattern emphasizes perceived gender differences across personal interests, physical abilities, parenting styles, and emotional expression, while viewing men and women as largely similar in workplace competencies.",True
96,pew_w154_diff1_uniform_n96_096,,"This profile reflects a consistently difference-oriented view of gender, seeing men and women as basically different across personal interests, physical abilities, parenting styles, emotional expression, and workplace strengths.",True
